amount,total_amount_last_24h,txn_count_last_24h,is_new_device,is_odd_hour,channel,transaction_type,country
6434.84,218622.89,14,1,0,CARD,TRANSFER,IN
24062.04,225057.73,15,1,0,CARD,TRANSFER,IN
5008.0,249119.77,16,0,0,CARD,WITHDRAWAL,IN
22304.53,254127.77,17,0,0,CARD,WITHDRAWAL,IN
8891.47,276432.30000000005,18,0,0,NET_BANKING,TRANSFER,IN
13967.3,285323.77,19,0,0,CARD,TRANSFER,IN
8318.72,299291.07,20,0,0,CARD,WITHDRAWAL,IN
17436.79,284794.88999999996,20,0,0,CARD,WITHDRAWAL,IN
22715.66,302231.67999999993,21,1,0,CARD,TRANSFER,IN
14053.22,314007.95999999996,21,0,0,UPI,WITHDRAWAL,IN
19620.29,303260.04999999993,20,0,0,CARD,TRANSFER,IN
18749.65,322880.3399999999,21,0,0,CARD,WITHDRAWAL,IN
11368.47,313189.11,20,0,1,CARD,TRANSFER,IN
6160.35,305821.14999999997,19,0,1,CARD,WITHDRAWAL,IN
7532.43,311981.49999999994,20,1,1,CARD,WITHDRAWAL,IN
10778.69,297246.29,20,0,1,CARD,WITHDRAWAL,IN
24791.12,308024.98,21,0,1,CARD,DEPOSIT,SG
5494.34,314391.22,21,0,0,CARD,WITHDRAWAL,IN
19997.1,319885.56,22,1,0,CARD,WITHDRAWAL,IN
20896.61,307644.68,21,0,0,CARD,WITHDRAWAL,IN
20227.87,311142.68,21,0,0,CARD,WITHDRAWAL,IN
10688.66,331370.55,22,0,0,UPI,WITHDRAWAL,IN
20217.7,289001.26999999996,20,0,0,CARD,TRANSFER,IN
4407.06,0.0,0,1,0,CARD,WITHDRAWAL,SG
1726.34,4407.06,1,0,0,CARD,WITHDRAWAL,IN
3192.51,6133.400000000001,2,1,0,CARD,WITHDRAWAL,IN
4563.92,9325.91,3,0,0,CARD,WITHDRAWAL,IN
2409.44,13889.83,4,0,0,CARD,WITHDRAWAL,IN
4829.99,16299.27,5,0,0,NET_BANKING,WITHDRAWAL,IN
3663.95,21129.26,6,0,1,UPI,TRANSFER,IN
3544.9,24793.210000000003,7,0,1,CARD,TRANSFER,SG
4790.16,28338.110000000004,8,0,1,CARD,WITHDRAWAL,IN
1769.58,33128.270000000004,9,0,1,CARD,DEPOSIT,IN
1214.11,34897.850000000006,10,0,0,CARD,WITHDRAWAL,IN
1422.63,36111.96000000001,11,0,0,CARD,WITHDRAWAL,IN
2095.49,37534.59,12,0,0,CARD,TRANSFER,SG
2416.85,39630.08,13,0,0,CARD,DEPOSIT,IN
1285.22,42046.93,14,0,0,CARD,WITHDRAWAL,IN
2627.57,43332.15,15,0,0,NET_BANKING,TRANSFER,IN
2657.51,45959.72,16,0,0,CARD,TRANSFER,IN
2925.87,48617.23,17,0,0,CARD,TRANSFER,IN
2997.39,51543.100000000006,18,0,0,CARD,DEPOSIT,IN
2196.61,54540.490000000005,19,1,0,CARD,TRANSFER,IN
27921.75,0.0,0,1,0,CARD,WITHDRAWAL,IN
23419.19,27921.75,1,0,0,UPI,TRANSFER,IN
10812.28,51340.94,2,1,0,NET_BANKING,DEPOSIT,IN
30131.56,62153.22,3,1,0,CARD,DEPOSIT,SG
13606.51,92284.78,4,0,0,CARD,WITHDRAWAL,IN
32393.58,105891.29,5,1,0,CARD,TRANSFER,IN
47596.73,138284.87,6,0,0,CARD,TRANSFER,IN
21421.05,185881.6,7,0,1,CARD,WITHDRAWAL,IN
39564.22,207302.65,8,0,1,CARD,TRANSFER,IN
20108.31,246866.87,9,0,1,CARD,DEPOSIT,IN
33490.96,266975.18,10,0,1,CARD,WITHDRAWAL,US
39519.19,300466.14,11,0,1,CARD,WITHDRAWAL,IN
47175.93,339985.33,12,0,0,CARD,WITHDRAWAL,IN
40370.19,387161.26,13,0,0,CARD,WITHDRAWAL,IN
38639.93,427531.45,14,0,0,CARD,WITHDRAWAL,IN
11386.44,466171.38,15,0,0,CARD,WITHDRAWAL,IN
10884.67,477557.82,16,0,0,CARD,WITHDRAWAL,IN
20203.2,488442.49,17,1,0,CARD,WITHDRAWAL,IN
18401.58,508645.69,18,0,0,NET_BANKING,DEPOSIT,IN
44262.24,527047.27,19,0,0,NET_BANKING,WITHDRAWAL,IN
16107.33,571309.51,20,0,0,CARD,WITHDRAWAL,IN
31263.11,587416.84,21,0,0,NET_BANKING,WITHDRAWAL,IN
42523.13,618679.95,22,0,0,CARD,TRANSFER,IN
47959.2,661203.08,23,0,0,CARD,TRANSFER,IN
35998.51,647009.0599999999,21,0,0,UPI,DEPOSIT,IN
48137.42,683007.57,22,0,0,CARD,WITHDRAWAL,IN
31802.22,701013.43,22,0,0,UPI,TRANSFER,AE
15796.74,732815.65,23,1,0,CARD,WITHDRAWAL,IN
14936.91,735005.88,23,0,0,CARD,WITHDRAWAL,IN
19958.63,717549.21,23,0,0,CARD,WITHDRAWAL,IN
22825.12,689911.1100000001,23,0,0,UPI,TRANSFER,IN
39304.5,712736.2300000001,24,1,1,CARD,DEPOSIT,IN
36357.13,691055.4600000001,23,0,1,CARD,TRANSFER,SG
34990.07,673813.3200000001,22,0,1,CARD,TRANSFER,IN
39659.31,708803.39,23,0,1,CARD,TRANSFER,SG
6042.31,0.0,0,1,0,NET_BANKING,TRANSFER,IN
20741.66,6042.31,1,1,0,UPI,DEPOSIT,IN
10152.21,26783.97,2,1,0,UPI,TRANSFER,IN
18981.52,36936.18,3,1,0,UPI,DEPOSIT,IN
20010.08,55917.7,4,0,0,UPI,DEPOSIT,IN
24306.54,75927.78,5,0,0,NET_BANKING,TRANSFER,IN
22613.89,100234.32,6,1,1,UPI,WITHDRAWAL,IN
16996.85,122848.21,7,0,1,UPI,DEPOSIT,US
5907.51,139845.06,8,0,1,UPI,WITHDRAWAL,IN
19060.4,145752.57,9,0,1,UPI,DEPOSIT,US
5791.95,164812.97,10,0,1,UPI,WITHDRAWAL,IN
6033.97,170604.92,11,0,0,CARD,TRANSFER,IN
20866.34,176638.89,12,0,0,NET_BANKING,DEPOSIT,US
19479.88,197505.23,13,0,0,UPI,DEPOSIT,IN
7710.19,216985.11,14,1,0,UPI,TRANSFER,IN
22744.24,224695.3,15,0,0,UPI,DEPOSIT,IN
20072.25,247439.54,16,0,0,CARD,DEPOSIT,IN
15982.65,267511.79000000004,17,0,0,UPI,WITHDRAWAL,IN
12224.66,283494.44000000006,18,1,0,UPI,TRANSFER,SG
19281.91,295719.10000000003,19,0,0,UPI,DEPOSIT,IN
13300.84,315001.01,20,1,0,UPI,DEPOSIT,IN
11615.23,328301.85000000003,21,1,0,UPI,TRANSFER,IN
18582.74,339917.08,22,0,0,NET_BANKING,WITHDRAWAL,IN
19395.08,358499.82,23,1,0,UPI,TRANSFER,IN
16008.79,377894.9,24,0,0,UPI,TRANSFER,IN
7837.03,387861.37999999995,24,0,0,UPI,TRANSFER,IN
5685.44,364804.54,23,1,0,NET_BANKING,WITHDRAWAL,SG
20786.01,351508.46,23,1,0,UPI,TRANSFER,IN
9220.62,0.0,0,1,0,UPI,TRANSFER,IN
13167.91,9220.62,1,1,0,CARD,WITHDRAWAL,IN
7515.31,22388.53,2,0,0,UPI,WITHDRAWAL,IN
24799.98,29903.84,3,0,0,UPI,WITHDRAWAL,AE
9375.17,54703.82,4,0,0,UPI,DEPOSIT,SG
18791.81,64078.99,5,1,0,UPI,DEPOSIT,IN
23899.32,82870.8,6,0,1,UPI,WITHDRAWAL,IN
8459.18,106770.12,7,0,1,UPI,DEPOSIT,IN
23487.14,115229.3,8,0,1,NET_BANKING,DEPOSIT,IN
24838.22,138716.44,9,0,1,UPI,WITHDRAWAL,IN
13368.61,163554.66,10,0,0,CARD,DEPOSIT,IN
17043.89,176923.27000000002,11,0,0,UPI,DEPOSIT,IN
23644.68,193967.16000000003,12,0,0,UPI,DEPOSIT,IN
12214.13,217611.84000000003,13,1,0,UPI,DEPOSIT,IN
6509.3,229825.97000000003,14,0,0,UPI,DEPOSIT,IN
11206.98,236335.27,15,0,0,CARD,WITHDRAWAL,IN
10898.77,247542.25000000003,16,0,0,NET_BANKING,DEPOSIT,IN
20497.93,258441.02,17,1,0,UPI,TRANSFER,IN
14767.47,278938.95,18,0,0,UPI,TRANSFER,IN
15955.89,293706.42,19,0,0,UPI,WITHDRAWAL,IN
16846.7,309662.31,20,1,0,UPI,WITHDRAWAL,IN
9457.53,317288.38999999996,20,0,0,UPI,WITHDRAWAL,SG
14775.73,306062.7,19,0,0,UPI,DEPOSIT,IN
21673.91,296038.45,19,0,0,NET_BANKING,TRANSFER,IN
14236.61,317712.36,20,0,0,UPI,DEPOSIT,IN
15765.94,331948.97,21,0,0,UPI,DEPOSIT,IN
23443.24,319547.93,20,0,0,UPI,DEPOSIT,IN
20115.15,319091.85,20,1,1,UPI,WITHDRAWAL,IN
8468.44,307260.68000000005,19,0,1,UPI,DEPOSIT,IN
18767.06,315729.12000000005,20,0,1,UPI,DEPOSIT,IN
8793.08,309657.9600000001,20,0,0,UPI,TRANSFER,IN
12064.18,305082.43000000005,20,0,0,UPI,TRANSFER,IN
13560.7,317146.61000000004,21,1,0,UPI,WITHDRAWAL,IN
9876.56,313663.42000000004,21,0,0,UPI,WITHDRAWAL,IN
18706.39,299895.3,21,0,0,NET_BANKING,DEPOSIT,IN
16578.7,306387.56,21,0,0,UPI,TRANSFER,IN
21150.06,0.0,0,1,0,CARD,TRANSFER,IN
11307.98,21150.06,1,1,0,CARD,WITHDRAWAL,IN
11450.12,32458.04,2,0,0,NET_BANKING,TRANSFER,US
15748.54,43908.16,3,0,0,CARD,TRANSFER,IN
13645.05,59656.7,4,0,0,CARD,DEPOSIT,IN
6248.87,73301.75,5,0,0,NET_BANKING,DEPOSIT,IN
20410.31,79550.62,6,0,0,CARD,TRANSFER,IN
18574.85,99960.93,7,0,0,CARD,WITHDRAWAL,IN
19093.61,118535.78,8,0,0,CARD,WITHDRAWAL,IN
24148.88,137629.39,9,0,0,CARD,TRANSFER,IN
23233.32,161778.27000000002,10,0,1,CARD,WITHDRAWAL,IN
8484.42,185011.59000000003,11,0,1,CARD,TRANSFER,IN
13795.08,193496.01000000004,12,0,1,CARD,WITHDRAWAL,IN
10210.54,207291.09000000003,13,0,0,CARD,DEPOSIT,IN
12565.95,217501.63000000003,14,0,0,CARD,TRANSFER,IN
7829.92,230067.58000000005,15,1,0,CARD,TRANSFER,IN
11400.69,237897.5000000001,16,1,0,CARD,DEPOSIT,IN
14013.39,249298.1900000001,17,0,0,CARD,WITHDRAWAL,IN
6528.51,263311.5800000001,18,0,0,CARD,TRANSFER,IN
8080.31,269840.0900000001,19,0,0,CARD,DEPOSIT,IN
11094.11,277920.4000000001,20,1,0,NET_BANKING,TRANSFER,IN
15922.39,289014.51000000007,21,0,0,CARD,WITHDRAWAL,IN
21589.35,304936.9000000001,22,0,0,CARD,TRANSFER,IN
9255.39,326526.25000000006,23,0,0,CARD,DEPOSIT,IN
22725.85,335781.6400000001,24,0,0,NET_BANKING,TRANSFER,IN
17741.06,358507.49000000005,25,0,0,CARD,WITHDRAWAL,IN
20101.29,376248.5500000001,26,0,0,CARD,DEPOSIT,IN
18993.75,396349.84,27,0,0,NET_BANKING,DEPOSIT,IN
18084.42,382885.55,26,1,0,CARD,TRANSFER,IN
11207.61,373771.31,25,0,0,CARD,DEPOSIT,IN
7882.98,371333.86999999994,25,0,0,CARD,DEPOSIT,IN
18645.1,379216.8499999999,26,0,0,CARD,DEPOSIT,IN
13948.89,391613.0799999999,26,1,0,CARD,DEPOSIT,IN
5088.47,323334.31999999995,23,0,0,CARD,TRANSFER,AE
18300.34,305189.4699999999,23,1,1,CARD,WITHDRAWAL,IN
16611.37,323489.80999999994,24,0,1,CARD,DEPOSIT,IN
10927.08,340101.17999999993,25,0,1,UPI,DEPOSIT,IN
22009.64,351028.25999999995,26,0,1,CARD,WITHDRAWAL,IN
5801.3,364553.48,26,0,1,CARD,DEPOSIT,IN
2658.16,0.0,0,1,0,UPI,TRANSFER,IN
4646.6,2658.16,1,1,0,UPI,TRANSFER,IN
1949.48,7304.76,2,0,0,NET_BANKING,WITHDRAWAL,IN
3563.79,9254.24,3,1,0,UPI,WITHDRAWAL,SG
4563.64,12818.03,4,0,0,NET_BANKING,DEPOSIT,IN
1944.64,17381.67,5,0,0,UPI,TRANSFER,IN
2077.31,19326.31,6,0,1,UPI,DEPOSIT,IN
4542.48,21403.62,7,0,1,NET_BANKING,DEPOSIT,IN
2522.63,25946.1,8,1,1,UPI,TRANSFER,IN
4383.37,28468.73,9,0,0,UPI,WITHDRAWAL,IN
4465.1,32852.1,10,0,0,CARD,TRANSFER,IN
4321.73,37317.2,11,1,0,UPI,DEPOSIT,US
3574.61,41638.92999999999,12,0,0,UPI,DEPOSIT,IN
3133.01,45213.53999999999,13,0,0,UPI,TRANSFER,IN
3356.09,48346.55,14,0,0,UPI,DEPOSIT,IN
4522.74,51702.64,15,0,0,CARD,TRANSFER,IN
1041.42,56225.38,16,0,0,UPI,WITHDRAWAL,IN
4664.49,57266.8,17,0,0,UPI,TRANSFER,IN
3617.94,61931.28999999999,18,0,0,NET_BANKING,WITHDRAWAL,IN
2079.75,65549.23,19,0,0,UPI,WITHDRAWAL,IN
2201.67,60324.22,18,0,0,UPI,DEPOSIT,IN
4171.84,62525.89,19,0,0,CARD,WITHDRAWAL,IN
3854.63,64748.249999999985,19,0,0,UPI,WITHDRAWAL,IN
1706.74,65039.08999999999,19,0,0,UPI,WITHDRAWAL,SG
4427.42,66745.82999999999,20,0,0,UPI,TRANSFER,SG
2200.93,71173.24999999999,21,0,0,CARD,DEPOSIT,IN
2729.0,66865.89999999998,20,0,0,CARD,WITHDRAWAL,IN
4210.17,69594.89999999998,21,0,1,NET_BANKING,TRANSFER,AE
2693.07,71727.76,21,0,1,UPI,TRANSFER,US
4221.85,69878.35,21,1,1,UPI,WITHDRAWAL,IN
3954.83,74100.20000000001,22,0,1,UPI,WITHDRAWAL,IN
3195.8,78055.03000000001,23,0,1,CARD,WITHDRAWAL,IN
2428.42,78728.2,23,1,1,UPI,WITHDRAWAL,IN
3631.07,76773.24999999999,23,0,0,UPI,WITHDRAWAL,IN
10447.65,0.0,0,1,0,CARD,WITHDRAWAL,IN
75875.4653982554,10447.65,1,0,0,NET_BANKING,WITHDRAWAL,IN
23941.36,86323.1153982554,2,1,0,NET_BANKING,DEPOSIT,IN
37901.67418225048,110264.4753982554,3,0,0,NET_BANKING,DEPOSIT,IN
8230.5,148166.14958050588,4,0,0,NET_BANKING,WITHDRAWAL,IN
16814.24,156396.64958050588,5,0,0,NET_BANKING,DEPOSIT,SG
23829.85,173210.88958050587,6,0,1,NET_BANKING,WITHDRAWAL,IN
58911.17113801985,197040.73958050588,7,0,1,NET_BANKING,WITHDRAWAL,IN
19496.49,255951.91071852573,8,0,1,NET_BANKING,TRANSFER,IN
15717.62,275448.40071852575,9,0,0,NET_BANKING,DEPOSIT,SG
39801.56950200678,291166.02071852575,10,0,0,NET_BANKING,WITHDRAWAL,IN
5425.24,330967.5902205325,11,0,0,NET_BANKING,DEPOSIT,IN
8748.63,336392.8302205325,12,0,0,NET_BANKING,WITHDRAWAL,IN
53318.62133055839,345141.4602205325,13,0,0,CARD,DEPOSIT,IN
20852.48,398460.0815510909,14,0,0,NET_BANKING,TRANSFER,IN
11347.28,419312.56155109085,15,1,0,NET_BANKING,WITHDRAWAL,SG
17383.83,430659.8415510909,16,0,0,CARD,WITHDRAWAL,IN
11294.17,448043.6715510909,17,0,0,NET_BANKING,DEPOSIT,IN
5891.29,448890.19155109086,17,0,0,NET_BANKING,TRANSFER,IN
17028.3,378906.01615283545,17,0,0,UPI,WITHDRAWAL,IN
12537.72,395934.31615283544,18,0,0,NET_BANKING,WITHDRAWAL,IN
19902.93,408472.0361528354,19,0,0,CARD,DEPOSIT,IN
19529.91,404433.6061528354,19,1,0,NET_BANKING,TRANSFER,IN
24997.92,377831.34197058494,18,0,0,CARD,DEPOSIT,IN
3617.29,0.0,0,1,0,CARD,WITHDRAWAL,IN
9187.05,3617.29,1,1,0,NET_BANKING,WITHDRAWAL,IN
6458.58,12804.34,2,0,0,NET_BANKING,WITHDRAWAL,IN
11882.45,19262.92,3,0,0,CARD,TRANSFER,IN
3208.22,31145.37,4,0,1,NET_BANKING,WITHDRAWAL,IN
9347.34,34353.59,5,0,1,NET_BANKING,TRANSFER,IN
3808.08,43700.92999999999,6,0,1,CARD,TRANSFER,AE
2584.1,47509.009999999995,7,0,1,NET_BANKING,WITHDRAWAL,IN
11910.8,50093.10999999999,8,0,0,CARD,DEPOSIT,IN
9751.36,62003.90999999999,9,0,0,NET_BANKING,WITHDRAWAL,SG
9971.37863714372,71755.26999999999,10,1,0,NET_BANKING,TRANSFER,IN
5843.44,81726.6486371437,11,0,0,NET_BANKING,WITHDRAWAL,US
4613.47,87570.08863714371,12,0,0,NET_BANKING,WITHDRAWAL,AE
4706.9,92183.55863714372,13,1,0,NET_BANKING,TRANSFER,AE
37733.813201638,96890.4586371437,14,0,0,NET_BANKING,WITHDRAWAL,IN
4801.16,134624.27183878171,15,1,0,NET_BANKING,WITHDRAWAL,IN
18183.769587330116,139425.43183878172,16,0,0,NET_BANKING,DEPOSIT,IN
5427.34,157609.20142611183,17,0,0,NET_BANKING,TRANSFER,SG
11392.05,163036.54142611183,18,0,0,CARD,DEPOSIT,IN
9833.08,174428.59142611182,19,0,0,NET_BANKING,TRANSFER,IN
6928.0,180644.3814261118,19,1,0,CARD,WITHDRAWAL,IN
10614.49,187572.3814261118,20,0,0,UPI,DEPOSIT,IN
8770.28,182541.2414261118,19,1,0,CARD,WITHDRAWAL,IN
7325.54,179429.0714261118,19,0,0,NET_BANKING,WITHDRAWAL,AE
8337.76,186754.6114261118,20,0,0,NET_BANKING,TRANSFER,IN
11911.08,195092.3714261118,21,0,1,NET_BANKING,WITHDRAWAL,IN
11421.59,203795.2314261118,21,0,1,NET_BANKING,DEPOSIT,IN
10458.15,205869.48142611183,21,0,1,CARD,TRANSFER,IN
2633.33,212519.55142611184,21,0,1,UPI,WITHDRAWAL,IN
8512.71,215152.88142611185,22,0,1,NET_BANKING,TRANSFER,IN
10207.324918078471,221081.4914261118,22,0,1,NET_BANKING,WITHDRAWAL,IN
8144.01,231288.81634419027,23,0,0,CARD,TRANSFER,IN
12027.18,227522.02634419024,23,0,0,NET_BANKING,TRANSFER,IN
7038.59,229797.84634419027,23,1,0,UPI,TRANSFER,IN
8324.58,221021.6177070465,22,0,0,NET_BANKING,WITHDRAWAL,IN
6183.79,229346.19770704652,23,0,0,NET_BANKING,TRANSFER,IN
2828.07,230916.51770704653,23,0,0,NET_BANKING,TRANSFER,IN
11490.116921191897,229037.68770704657,23,1,0,NET_BANKING,DEPOSIT,AE
4536.74,0.0,0,1,0,CARD,TRANSFER,IN
2038.83,4536.74,1,1,0,NET_BANKING,DEPOSIT,IN
1299.46,6575.57,2,0,0,CARD,WITHDRAWAL,IN
4410.39,7875.03,3,0,0,CARD,DEPOSIT,IN
2468.62,12285.42,4,0,0,NET_BANKING,TRANSFER,IN
3400.82,14754.04,5,0,0,CARD,WITHDRAWAL,IN
4412.75,18154.86,6,1,0,CARD,WITHDRAWAL,IN
3552.58,22567.61,7,0,0,CARD,WITHDRAWAL,IN
4761.36,26120.19,8,1,0,CARD,WITHDRAWAL,IN
4730.68,30881.550000000003,9,0,0,CARD,DEPOSIT,IN
2428.0,35612.23,10,0,1,UPI,DEPOSIT,IN
3939.11,38040.23,11,0,1,UPI,WITHDRAWAL,IN
2680.68,41979.34,12,1,1,UPI,DEPOSIT,IN
4340.96,44660.02,13,0,1,CARD,TRANSFER,US
1246.58,49000.98,14,0,0,CARD,TRANSFER,IN
1551.98,50247.560000000005,15,0,0,CARD,WITHDRAWAL,IN
4725.09,51799.54000000001,16,0,0,CARD,DEPOSIT,IN
2577.1,56524.630000000005,17,0,0,CARD,DEPOSIT,IN
1341.71,59101.73,18,0,0,UPI,TRANSFER,IN
4915.3,60443.44,19,0,0,CARD,TRANSFER,IN
2306.19,65358.740000000005,20,0,0,NET_BANKING,TRANSFER,US
1006.44,67664.93000000001,21,0,0,CARD,WITHDRAWAL,IN
12043.91,0.0,0,1,0,UPI,WITHDRAWAL,IN
15173.43,12043.91,1,0,0,UPI,WITHDRAWAL,IN
6078.7,27217.34,2,0,0,UPI,WITHDRAWAL,IN
5566.5,33296.04,3,0,0,UPI,WITHDRAWAL,IN
7517.13,38862.54,4,0,0,UPI,WITHDRAWAL,IN
14524.21,46379.67,5,0,0,UPI,DEPOSIT,IN
19444.86,60903.88,6,0,0,NET_BANKING,DEPOSIT,IN
12974.65,80348.73999999999,7,1,1,UPI,DEPOSIT,IN
23264.02,93323.38999999998,8,0,1,UPI,TRANSFER,IN
5358.42,116587.41,9,0,1,UPI,DEPOSIT,IN
7691.02,121945.83,10,0,1,UPI,TRANSFER,IN
13585.6,129636.85,11,1,0,UPI,TRANSFER,IN
12797.05,143222.44999999998,12,0,0,CARD,DEPOSIT,IN
7493.39,156019.49999999997,13,0,0,UPI,DEPOSIT,IN
8619.01,163512.88999999998,14,0,0,UPI,DEPOSIT,IN
18824.58,0.0,0,1,0,NET_BANKING,WITHDRAWAL,IN
15091.59,18824.58,1,0,0,CARD,TRANSFER,IN
9658.94,33916.17,2,0,0,NET_BANKING,TRANSFER,SG
14867.45,43575.11,3,1,0,NET_BANKING,WITHDRAWAL,SG
15734.92,58442.56,4,0,0,NET_BANKING,DEPOSIT,IN
18275.31,74177.48,5,0,0,NET_BANKING,WITHDRAWAL,IN
8045.23,92452.79,6,0,0,NET_BANKING,DEPOSIT,IN
6474.69,100498.02,7,0,0,UPI,TRANSFER,IN
22324.14,106972.71,8,0,1,NET_BANKING,TRANSFER,IN
22401.45,129296.85,9,0,1,NET_BANKING,DEPOSIT,IN
8520.26,151698.3,10,0,1,NET_BANKING,TRANSFER,US
24614.65,160218.56,11,0,1,NET_BANKING,TRANSFER,IN
13979.76,184833.21,12,0,1,NET_BANKING,TRANSFER,US
21505.08,198812.97,13,0,0,NET_BANKING,WITHDRAWAL,IN
9454.68,220318.05,14,0,0,CARD,TRANSFER,IN
5693.59,229772.73,15,0,0,CARD,TRANSFER,IN
24310.13,235466.32,16,0,0,NET_BANKING,TRANSFER,IN
10031.24,259776.45,17,0,0,NET_BANKING,DEPOSIT,IN
6256.84,269807.69,18,0,0,NET_BANKING,WITHDRAWAL,AE
15861.9,276064.53,19,0,0,UPI,TRANSFER,AE
22411.91,291926.43000000005,20,1,0,NET_BANKING,WITHDRAWAL,AE
9354.02,314338.34,21,0,0,NET_BANKING,TRANSFER,AE
12270.97,289776.19,20,1,0,NET_BANKING,DEPOSIT,IN
10829.64,302047.16,21,0,0,NET_BANKING,WITHDRAWAL,IN
11663.57,312876.8,22,0,0,NET_BANKING,TRANSFER,IN
24143.71,314881.43,22,1,0,CARD,DEPOSIT,IN
17385.3,324157.69,22,0,0,NET_BANKING,DEPOSIT,US
15751.1,299487.52999999997,20,0,0,NET_BANKING,TRANSFER,IN
